Station,Filename
PIRAVOM- MUVATTUPUZHA,muvattupuzha.json
"KOLENCHERY, PERUMBAVOOR, PATTIMATTAM, PERUMBAVOOR",muvattupuzha.json
EROOR WATER TANK JN.,muvattupuzha.json
NORTH PARAVUR,ernakulam.json
NORTH PARAVUR,malapuram.json
MANJALY,ernakulam.json
ATHANI,ernakulam.json
ATHANI,kozhikkode.json
ANGAMALY PRIVATE BUS STATION,ernakulam.json
KUNDANOOR,ernakulam.json
KOTHAD FERRY,ernakulam.json
THEVARA JN,ernakulam.json
SOUTH CHITTOOR,ernakulam.json
KOTHAD CHURCH,ernakulam.json
PANAYIKULAM JN. ALUVA,ernakulam.json
MUNAMBAM,ernakulam.json
THATHAPPILLY,ernakulam.json
CHERAI,ernakulam.json
K THURUTHU,ernakulam.json
KUMBALANGI,ernakulam.json
KUMBALANGI,alappuzha.json
WILLINGDON ISLAND,ernakulam.json
PERUMPADAPPU,ernakulam.json
THOPPUMPADY,ernakulam.json
THOPPUMPADY,alappuzha.json
PERUMBAVOOR,ernakulam.json
PERUMBAVOOR,idukki.json
TELK JN. ANGAMALY,ernakulam.json
TRIPUNITHURA,ernakulam.json
EDAKOCHI,ernakulam.json
KAIPPUZHAMUTTU,ernakulam.json
KAIPPUZHAMUTTU,alappuzha.json
KAIPPUZHAMUTTU,kottayam.json
ALUVA PRIVATE BUS STAND,ernakulam.json
ALUVA PRIVATE BUS STAND,idukki.json
THURAVOOR,ernakulam.json
THURAVOOR,alappuzha.json
CHOWARA JN. ALUVA,ernakulam.json
KALADY JN. KALADY,ernakulam.json
VYTTILA.,ernakulam.json
TRIPUNITHURA C,ernakulam.json
KARIMUGAL KOCHI,ernakulam.json
KADAVANTHRA,ernakulam.json
VYTTILA CLOCKWISE,ernakulam.json
HIGH COURT JUNCTION,ernakulam.json
NJARAKKAL JUNCTION,ernakulam.json
KALAMUKKU,ernakulam.json
MOOTHAKUNNAM,ernakulam.json
ELAMKUNNAPPUZHA BUS STOP,ernakulam.json
NAYARAMBALAM,ernakulam.json
CHERAI JUNCTION,ernakulam.json
VYPIN,ernakulam.json
CHERANELLOOR,ernakulam.json
CHITTOOR TEMPLE,ernakulam.json
PATHALAM,ernakulam.json
HMT JU,ernakulam.json
POOKKATTUPADY,ernakulam.json
ALUVA,ernakulam.json
ALUVA,idukki.json
MEDICAL COLLEGE,ernakulam.json
MEDICAL COLLEGE,malapuram.json
MEDICAL COLLEGE,vadakara.json
MEDICAL COLLEGE,kozhikkode.json
MEDICAL COLLEGE,palakkad-2.json
AIRPORT JUN,ernakulam.json
ERNAKULAM NORTH RAILWAY STATION,ernakulam.json
KOLLAMKUDIMUGAL,ernakulam.json
FORT KOCHI,ernakulam.json
KMP NAGAR,ernakulam.json
CHERANELLOOR EDAPPALLY,ernakulam.json
THEVARA,ernakulam.json
CHITTOOR FERRY,ernakulam.json
PALA KOTTARAMATTOM STAND,ernakulam.json
PALA KOTTARAMATTOM STAND,kottayam.json
GOTHURUTH,ernakulam.json
PAVAMKULANGARA,ernakulam.json
PUTHUKKALAVATTAM,ernakulam.json
NEDUVANNUR,ernakulam.json
CHOWARA,ernakulam.json
NAYTHODE,ernakulam.json
THYKAVU,ernakulam.json
PERUMPADAPPU JUNCTION,ernakulam.json
CHITTETHUKARA,ernakulam.json
THEVARA FERRY,ernakulam.json
KARAMALA,ernakulam.json
BOAT JETTY,ernakulam.json
INFO-PARK,ernakulam.json
EDACHIRA,ernakulam.json
KATTATHRAKADAVU,ernakulam.json
PIZHALAKKADVE C,ernakulam.json
CHETTIBHAGAM,ernakulam.json
PIZHALAKADAVU,ernakulam.json
MEDICALCOLLEGE,ernakulam.json
KOLENCHERY,ernakulam.json
KOLENCHERY,kottayam.json
MARADU V MARKET,ernakulam.json
